Order #,Expected Delivery Date,Department,Class,Status,Location,Division,SO Approver Partner,ITEM CODE,ITEM NAME,ORDER QUANTITY,eBizDownloadStatus,Store Code,Indent No,Amount,Indent Date,Location,TRANSACTION TYPE,PLACE OF SUPPLY,CUSTOMER PO NO
"1","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Hyderabad-Dry Shell","Trading","Santosh Thorat","5020118489","Shell Engine Coolant Green (12X1) - MRP 349","24","Edit","10048854","rfpl/finalised/104475","1","27/09/2022","OTRD : Hyderabad-Dry Shell","GST Tax Invoice","Telangana",""
"1","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Hyderabad-Dry Shell","Trading","Santosh Thorat","5020119453","Shell Taxi Engine Coolant Green (4X1) - MRP 1170","8","Edit","10048854","rfpl/finalised/104475","1","27/09/2022","OTRD : Hyderabad-Dry Shell","GST Tax Invoice","Telangana",""
"1","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Hyderabad-Dry Shell","Trading","Santosh Thorat","5024118510","Shell Wax Shampoo for Car (12X1) - MRP 249","6","Edit","10048854","rfpl/finalised/104475","1","27/09/2022","OTRD : Hyderabad-Dry Shell","GST Tax Invoice","Telangana",""
"1","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Hyderabad-Dry Shell","Trading","Santosh Thorat","5024118511","Shell Bike and Scooter Shampoo (12X1) - MRP 249","12","Edit","10048854","rfpl/finalised/104475","1","27/09/2022","OTRD : Hyderabad-Dry Shell","GST Tax Invoice","Telangana",""
"1","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Hyderabad-Dry Shell","Trading","Santosh Thorat","5024118963","Shell Wax Polish 0.25 L (12X1) - MRP 499","2","Edit","10048854","rfpl/finalised/104475","1","27/09/2022","OTRD : Hyderabad-Dry Shell","GST Tax Invoice","Telangana",""
"1","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Hyderabad-Dry Shell","Trading","Santosh Thorat","5024118999","Shell Microfiber Cloth 50x50 1 pk (24X1) - MRP 220","6","Edit","10048854","rfpl/finalised/104475","1","27/09/2022","OTRD : Hyderabad-Dry Shell","GST Tax Invoice","Telangana",""
"1","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Hyderabad-Dry Shell","Trading","Santosh Thorat","5024119000","Shell Microfiber Cloth 50x50 2 pk (12X1) - MRP 385","10","Edit","10048854","rfpl/finalised/104475","1","27/09/2022","OTRD : Hyderabad-Dry Shell","GST Tax Invoice","Telangana",""
"1","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Hyderabad-Dry Shell","Trading","Santosh Thorat","5024119001","Shell Microfiber Cloth 40x40 pk (30X1) - MRP 160","6","Edit","10048854","rfpl/finalised/104475","1","27/09/2022","OTRD : Hyderabad-Dry Shell","GST Tax Invoice","Telangana",""
"1","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Hyderabad-Dry Shell","Trading","Santosh Thorat","5024119002","Shell Microfiber Cloth 50x70 Pk (15X1) - MRP 280","6","Edit","10048854","rfpl/finalised/104475","1","27/09/2022","OTRD : Hyderabad-Dry Shell","GST Tax Invoice","Telangana",""
"1","19/07/2024","OTRD","RFPL : OTRD","Pending Approval","OTRD : Hyderabad-Dry Shell","Trading","Santosh Thorat","5025110830","Bisleri Water 1 Ltr (12X1) - MRP 20","48","Edit","10048854","rfpl/finalised/104475","1","27/09/2022","OTRD : Hyderabad-Dry Shell","GST Tax Invoice","Telangana",""
