Order #,Expected Delivery Date,Department,Class,Status,Location,Division,SO Approver Partner,ITEM CODE,ITEM NAME,ORDER QUANTITY,eBizDownloadStatus,Store Code,Indent No,Amount,Indent Date,Location,TRANSACTION TYPE,PLACE OF SUPPLY,CUSTOMER PO NO
"2","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Bangalore Shell","Trading","IT Support","5024118511","Shell Bike and Scooter Shampoo (12X1) - MRP 249","12","Edit","10053756","rfpl/finalised/104432","1","20/09/2022","OTRD : Bangalore Shell","GST Tax Invoice","Maharashtra",""
"1","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Pune Shell","Trading","IT Support","5012119037","Davinci Gourmet hazlnet Syrup (750gms) (1X1)","1","Edit","10053756","rfpl/finalised/104431","1","18/09/2022","OTRD : Pune Shell","GST Tax Invoice","Maharashtra",""
"1","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Pune Shell","Trading","IT Support","5012119038","Davinci Irish Syrup (750ml) (1X1)","1","Edit","10053756","rfpl/finalised/104431","1","18/09/2022","OTRD : Pune Shell","GST Tax Invoice","Maharashtra",""
"1","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Pune Shell","Trading","IT Support","5012119042","Davinci Chocolate Sauces (500 gms) (1X1)","1","Edit","10053756","rfpl/finalised/104431","1","18/09/2022","OTRD : Pune Shell","GST Tax Invoice","Maharashtra",""
"1","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Pune Shell","Trading","IT Support","5012119552","Veeba Zesty Dressing (1 KgX1)","1","Edit","10053756","rfpl/finalised/104431","1","18/09/2022","OTRD : Pune Shell","GST Tax Invoice","Maharashtra",""
"1","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Pune Shell","Trading","IT Support","5012119553","Veeba Thousand Island Dressing (1 KgX1)","1","Edit","10053756","rfpl/finalised/104431","1","18/09/2022","OTRD : Pune Shell","GST Tax Invoice","Maharashtra",""
"1","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Pune Shell","Trading","IT Support","5012200224","White Sugar Sachets (5gms) Pack of 200 (1X1)","1","Edit","10053756","rfpl/finalised/104431","1","18/09/2022","OTRD : Pune Shell","GST Tax Invoice","Maharashtra",""
"1","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Pune Shell","Trading","IT Support","5012200338","Ecolife 08 oZ Deli2go Regular Cup Lids Black/White (50X1)","50","Edit","10053756","rfpl/finalised/104431","1","18/09/2022","OTRD : Pune Shell","GST Tax Invoice","Maharashtra",""
"1","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Pune Shell","Trading","IT Support","5012200341","Ecolife 05 oZ Deli2go Mini Cups (100X1)","100","Edit","10053756","rfpl/finalised/104431","1","18/09/2022","OTRD : Pune Shell","GST Tax Invoice","Maharashtra",""
"1","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Pune Shell","Trading","IT Support","5012200353","Bayar s Coffee 80 Degree (200Grms pkt) (5X1)","15","Edit","10053756","rfpl/finalised/104431","1","18/09/2022","OTRD : Pune Shell","GST Tax Invoice","Maharashtra",""
"1","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Pune Shell","Trading","IT Support","5024118961","Shell Interior Cleaner 0.25 L(12X1) - MRP 315","6","Edit","10053756","rfpl/finalised/104431","1","18/09/2022","OTRD : Pune Shell","GST Tax Invoice","Maharashtra",""
"1","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Pune Shell","Trading","IT Support","5024119002","Shell Microfiber Cloth 50x70 Pk (15X1) - MRP 280","24","Edit","10053756","rfpl/finalised/104431","1","18/09/2022","OTRD : Pune Shell","GST Tax Invoice","Maharashtra",""
"1","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Pune Shell","Trading","IT Support","D2G6000001","Ecolife 08 oZ Deli2go Regular cups (27X1)","27","Edit","10053756","rfpl/finalised/104431","1","18/09/2022","OTRD : Pune Shell","GST Tax Invoice","Maharashtra",""

